Meno,Priezvisko,Dátum narodenia,Registračné číslo,Miestnosť
Jozef,Varga,2003-05-12,129,A300
Ján,Matejovec,2001-11-22,130,A300
Roman Alexander,Kolesár,2002-04-09,131,A300
Ján,Novák,2004-08-30,132,A300
Roman Alexander,Kokavec,2001-10-13,134,A300
Nikola,Kováč,2002-06-18,135,A300
Matúš,Matejovec,2004-07-16,137,A300
Nikola,Nagy,2002-02-27,138,A300
Martin,Varga,2001-09-10,139,A300
Monika,Kokavec,2003-04-04,140,A300
Jozef,Horvát,2002-11-14,142,A300
Radoslav,Varga,2001-05-21,144,A300
Ondrej,Kolesár,2003-12-19,145,A300
Ondrej,Novák,2002-03-07,146,A300
Roman Alexander,Mrkvička,2004-01-15,147,A300
Monika,Novák,2001-10-26,148,A300
Matúš,Matejovec,2003-02-13,149,A300
Matúš,Kováč,2002-09-01,150,A300
Martin,Nagy,2001-03-11,151,A300
Nikola,Novák,2000-08-08,152,A300
Roman Alexander,Kolesár,2004-02-17,154,B300
Ján,Novák,2002-05-09,155,B300
Ján,Šeliga,2001-07-23,156,B300
Martin,Štúr,2003-09-03,157,B300
Radoslav,Kolesár,2000-04-15,158,B300
Roman Alexander,Nagy,2004-12-27,159,B300
Roman Alexander,Matejovec,2002-06-06,160,B300
Matúš,Kováč,2001-01-19,161,B300
Nikola,Horvát,2003-03-28,162,B300
Jozef,Novák,2002-07-07,163,B300
František,Horvát,2000-09-10,164,B300
Timotej,Horvát,2004-04-21,165,B300
Ema,Kokavec,2003-08-17,167,B300
Ondrej,Novák,2000-10-11,168,B300
František,Kokavec,2002-01-25,169,B300
Martin,Novák,2004-09-06,170,B300
Radoslav,Mrkvička,2003-05-19,171,B300
Radoslav,Varga,2001-06-12,172,B300
František,Nagy,2000-11-04,173,B300
František,Mrkvička,2002-02-18,174,B300
Martin,Nagy,2001-12-01,176,B300
Jozef,Matejovec,2003-07-14,177,B300

